Data Source in SDW: https://data.europa.eu/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period\Unit:,"Austria, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Belgium, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Bulgaria, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Cyprus, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Czech Republic, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Germany, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Estonia, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Spain, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Finland, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","France, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Greece, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Croatia, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Hungary, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Ireland, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Italy, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Lithuania, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Luxembourg, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Latvia, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Malta, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Netherlands, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Poland, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Portugal, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Romania, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Sweden, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Slovenia, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Slovakia, Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted","Euro area (changing composition), Financial transactions (flows), MFIs excluding ESCB reporting sector - Deposit liabilities, Total maturity, All currencies combined - Euro area (changing composition) counterpart, Non-Financial corporations (S.11) sector, denominated in Euro, data Neither seasonally nor working day adjusted"
2022Aug,2268,3428,-60,61,-184,39108,156,7810,18,5177,-320,-1,59,3079,-13491,497.64,2236,152,-24,17579,186,1458,140,-473,325,836,70353
2022Jul,1008,-1728,9,170,-553,12060,42,-5336,-92,7881,-337,-1,34,575,20836,161.82,-749,3,-5,-648,73,-495,60,1108,107,1006,34461
2022Jun,-2942,1164,58,193,272,-7659,61,9644,2978,5910,2369,13,-266,-1204,-2748,-138.13,2060,9,-11,5175,2,19,27,-327,-68,-197,14617
2022May,-2435,1405,23,-5,123,-3596,25,7969,-536,-3088,1564,2,10,-1391,-3229,-45.19,-1720,189,174,6695,-121,-684,-33,-801,-133,265,1424
2022Apr,292,384,38,-32,-158,-150,141,-13168,-2211,-7221,-207,-2,51,1422,16567,-101.8,1369,-46,-81,-4315,-96,868,-41,-1365,-124,-157,-6771
2022Mar,2997,1421,-8,-231,261,9274,-59,8798,359,17143,-614,-5,-298,-1142,6249,180.48,1475,163,140,7244,82,2604,74,1139,208,249,56458
2022Feb,-1662,1036,35,162,-296,-1525,-210,1613,631,2052,-226,-13,16,-735,-249,-372.88,3243,21,-113,3893,365,566,-71,743,82,-153,8054
2022Jan,-1648,-4358,-4,-190,441,10652,-24,-18723,-1174,-17601,-2283,0,539,114,-33741,-127.07,-1431,-61,-150,-11952,-158,-1353,-10,-766,-471,-595,-85118
2021Dec,4600,2025,5,-170,-189,-16378,289,16131,1671,6591,2121,-7,-193,1680,24780,147.15,2583,221,307,2620,230,1703,-8,1180,509,686,52117
2021Nov,-2546,3097,-11,285,-21,2657,169,11473,-1370,9132,2179,5,-15,1068,-17104,-45.92,1077,108,71,16525,46,755,-10,28,106,377,28013
2021Oct,1443,48,-29,136,-579,15845,554,-9680,-437,5848,-418,3,207,2761,19612,84.12,268,-16,-10,3390,-54,282,50,451,-90,371,39993
2021Sep,1171,915,-25,61,723,2473,50,6846,4443,4105,224,15,-151,-164,166,-145.51,-8,-44,112,8144,67,-304,-109,26,62,-346,27762
2021Aug,-365,1861,16,306,18,7507,275,3929,-1451,2431,1025,-11,-65,980,-9881,92.69,1295,8,-106,5583,-116,1807,63,-211,176,525,15999
2021Jul,-293,-1772,30,59,282,11492,89,-5102,-460,3282,614,5,216,1144,18628,-33.17,-1037,-51,222,1718,190,228,51,500,86,281,29094
2021Jun,-1592,1309,-2,336,-9,2404,-50,2893,1867,20324,890,-8,-373,1040,3262,219.26,76,143,-5,-1056,-256,338,25,300,-186,-467,31743
2021May,-452,1455,-5,79,-15,4635,45,13673,889,-9233,1555,-5,18,-1364,6410,-191.22,729,55,-231,8057,145,328,-26,-890,30,120,26586
2021Apr,-1380,-267,-6,83,-9,-10344,-230,-7820,-1293,-6362,-515,1,356,966,4243,-22.88,1014,-177,143,-3500,48,1884,42,-125,-238,-235,-24051
2021Mar,5126,522,-1,-75,-324,33713,228,6602,1753,15671,2154,3,-146,2975,-3434,146.8,-1664,228,-14,8560,117,1401,54,-438,619,-12,74500
2021Feb,264,413,-29,93,-336,-6411,81,-2083,115,2168,122,4,-18,-1372,2306,-188.84,1210,-18,25,1001,47,1731,-60,181,98,-183,-628
2021Jan,-1282,-1847,24,-266,513,-5465,-134,-10342,-618,-10893,-1682,1,230,-806,-6793,53.92,1658,-106,-11,-8411,81,-1286,-37,793,-207,-608,-49045
2020Dec,563,-908,36,-111,-136,-2340,684,3178,-916,16604,1926,6,-178,639,14134,402.21,-190,304,168,-3500,75,941,79,-28,255,897,32730
2020Nov,318,1228,-16,-9,-215,-1392,140,4402,833,-1120,877,7,144,1973,-12692,178.93,274,136,-27,5651,71,-66,-25,-634,86,-264,529
2020Oct,1982,1835,-6,95,467,15928,139,-6910,-442,-4079,201,0,136,2017,21132,747.38,1218,115,37,-1057,-75,718,39,82,30,113,33821
2020Sep,-1015,-105,23,95,26,7887,27,4700,2244,-619,1074,-21,-253,975,6300,23.75,-1774,79,-18,-317,-167,680,28,3,164,451,20855
2020Aug,1357,1676,-10,234,30,2058,68,3231,-1481,10157,352,-3,50,273,10311,381.17,49,100,40,3175,-16,992,10,66,69,224,33267
2020Jul,3798,-812,-3,-9,10,21195,220,-5474,753,7254,2311,8,187,1375,15071,279.12,678,150,-71,7202,10,-327,44,649,93,-238,53447
2020Jun,-552,-1220,35,232,-110,5976,103,6514,1937,17822,435,-3,-174,2028,1691,193.97,-432,-114,104,-2982,-21,1903,-115,-845,-30,564,34171
2020May,1538,1669,-8,32,204,14048,197,13406,1745,51059,1533,5,67,2268,24883,258.06,1917,-98,8,10367,217,1730,-8,238,268,355,127183
2020Apr,3660,4113,23,-133,45,15973,96,14947,1119,45304,-111,2,96,932,4331,116.27,411,2,80,1292,209,577,58,560,5,365,93079
2020Mar,3787,7318,-11,-109,165,24317,153,11022,3185,52796,1836,-4,-386,3416,2329,88.29,2115,126,7,8300,109,1986,123,1481,441,-367,122748
2020Feb,-450,-154,10,-89,88,-7642,-22,6942,-404,8697,625,7,-27,-893,13302,-19.21,422,-37,-70,1582,154,-934,17,-494,62,155,21072
2020Jan,82,555,7,-98,-121,-9956,-24,-14206,-327,-17341,-1662,3,204,-1980,-12639,35.52,-485,-110,15,-7248,-122,-32,-67,-942,-169,-541,-66132
2019Dec,2284,-3308,-6,-194,-416,3269,113,-2188,1305,7016,2481,14,99,3112,-11166,267.98,-891,240,-54,4251,103,1258,-8,761,-46,223,7971
2019Nov,-77,2104,0,-120,-555,-2134,129,11021,-45,11870,-237,-1,-494,-1492,12227,123.72,569,-101,17,2012,240,-199,33,250,-26,84,35726
2019Oct,1732,363,-3,96,635,11061,111,-9933,1289,6573,-267,16,357,1795,7284,221.14,-351,181,-49,2299,-30,-16,-28,8,-21,267,22634
2019Sep,-342,919,10,-40,-91,2894,-165,5078,-557,-12624,-919,-11,-107,674,-9500,-4.98,-491,-181,89,301,121,-118,14,-160,51,99,-14836
2019Aug,299,116,15,11,-84,6165,-46,4198,804,19711,253,10,103,10,15492,84.95,-3773,54,-48,5671,48,1492,40,-179,50,488,51032
